2nd_Engineer,2nd_Officer,3rd_Engineer,AVIT,Bosun,Captain,Chef,Chief_Engineer,Chief_Steward,Crew_Chef,Deckhand,ETO,Electrician,First_Officer,Head_Chef,Lead_Deckhand,Purser,SOUS_2nd_Chef
engineer,,engineer,,,,necessary,chief engineer,steward,necessary,,,,,necessary,,steward,necessary
2nd,,3rd,,,,cooking,,es,cooking,,,,,cooking,,es,cooking
engineer,,engineer,,,,crew,,steward,crew,,,,,crew,,steward,crew
2nd,,3rd,,,,case,,es,case,,,,,case,,es,case
engineer,,engineer,,,,sous,,responsibility,sous,,,,,sous,,responsibility,sous
2nd,,3rd,,,,chef,,include,chef,,,,,chef,,include,chef
engineer,,engineer,,,,dual,,food,dual,,,,,dual,,food,dual
2nd,,3rd,,,,position,,drink,position,,,,,position,,drink,position
engineer,,engineer,,,,crew,,bar,crew,,,,,crew,,bar,crew
2nd,,3rd,,,,cook,,service,cook,,,,,cook,,service,cook
engineer,,engineer,,,,stew,,silver,stew,,,,,stew,,silver,stew
